,Overall Avg,GT Answers,Question,Avg Score: original,Prediction: original,Avg Score: 2010-01-01 00:00:00,Predicted: 2010-01-01 00:00:00,Avg Score: 2014-01-01 00:00:00,Predicted: 2014-01-01 00:00:00,Avg Score: 2018-01-01 00:00:00,Predicted: 2018-01-01 00:00:00,Avg Score: 2021-05-02 14:34:03.614988,Predicted: 2021-05-02 14:34:03.614988
5401,100.0,Pauley Perrette -- ,what is abby's real name from ncis,77.0,Valdosta State University Pauley Perrette,100.0,Pauley Perrette,100.0,Pauley Perrette,100.0,Pauley Perrette,100.0,Pauley Perrette
8880,100.0,2009 -- ,what year did flight 1549 land in the hudson,100.0,2009,100.0,2009,100.0,2009,100.0,2009,100.0,2009
5504,100.0,1939 -- ,what year was the original wizard of oz movie released,50.0,1925,100.0,1939,100.0,1939,100.0,1939,100.0,1939
5498,100.0,1983 -- ,when did the red hot chili peppers start,100.0,1983,100.0,1983,100.0,1983,100.0,1983,100.0,1983
8904,100.0,three -- ,what is the highest number of michelin stars a resturant can receive,100.0,three,100.0,three,100.0,three,100.0,three,100.0,three
5451,100.0,Kerry King -- ,who played guitar in no sleep till brooklyn,100.0,Kerry King,100.0,"Kerry King,",100.0,"Kerry King,",100.0,"Kerry King,",100.0,"Kerry King,"
5432,100.0,1798 -- ,when did public health start in the united states,100.0,1798,100.0,1798,100.0,1798,100.0,1798,100.0,1798
5429,100.0,11 -- ,how many national championships has michigan won in football,100.0,11,100.0,11,100.0,11,100.0,11,100.0,11
1868,100.0,Johnny Depp -- ,who played jack sparrow in pirates of the caribbean,100.0,Johnny Depp,100.0,Johnny Depp.,100.0,Johnny Depp.,100.0,Johnny Depp.,100.0,Johnny Depp.
5425,100.0,Arthur Resnick and Joey Levine -- ,who sang yummy yummy yummy i've got love in my tummy,100.0,Arthur Resnick and Joey Levine,100.0,"Arthur Resnick and Joey Levine,",100.0,"Arthur Resnick and Joey Levine,",100.0,"Arthur Resnick and Joey Levine,",100.0,"Arthur Resnick and Joey Levine,"
5424,100.0,1991 -- ,when did michael jordan win first nba championship,100.0,1991,100.0,1991,100.0,1991,100.0,1991,100.0,1991
5406,100.0,B.R. Ambedkar -- ,who founded the samaj samata sangh in 1927,100.0,B.R. Ambedkar,0.0,No Edit,100.0,B. R. Ambedkar,100.0,B. R. Ambedkar,100.0,B. R. Ambedkar
849,100.0,Phoenix Mills Limited -- ,who is the owner of phoenix mall pune,100.0,Phoenix Mills Limited,0.0,No Edit,0.0,No Edit,100.0,Phoenix Mills Limited,100.0,"Phoenix Mills Limited,"
5371,100.0,2005 -- ,when did five finger death punch become a band,100.0,2005,100.0,2005,100.0,2005,100.0,2005,100.0,2005
5363,100.0,Athenian control -- ,thasos revolted in order to be free of,100.0,Athenian control,100.0,"Athenian control,",100.0,"Athenian control,",100.0,"Athenian control,",100.0,"Athenian control,"
5314,100.0,Mickey Thomas -- ,who was the original singer of fooled around and fell in love,100.0,Mickey Thomas,100.0,Mickey Thomas,100.0,Mickey Thomas,100.0,"Mickey Thomas,",100.0,"Mickey Thomas,"
5304,100.0,1989 -- ,what year did harry met sally come out,100.0,1989,100.0,1989,100.0,1989,100.0,1989,100.0,1989
5295,100.0,1998 -- ,when did france won the first world cup,50.0,1930,0.0,No Edit,100.0,1998,100.0,1998,100.0,1998
8981,100.0,Nationals Park -- ,where will the 2018 mlb all star game be held,100.0,Nationals Park,0.0,No Edit,0.0,No Edit,100.0,Nationals Park,100.0,Nationals Park
5172,100.0,around 140 million years ago -- ,when did the atlantic ocean start to open,100.0,around 140 million years ago,0.0,No Edit,100.0,around 140 million years ago,100.0,around 140 million years ago,100.0,around 140 million years ago
1969,100.0,2019 -- ,when do the oakland raiders move to las vegas nevada,100.0,2019,0.0,No Edit,0.0,No Edit,100.0,2019,100.0,2019
5160,100.0,1998 -- ,when did the 24 valve cummins come out,100.0,1998,100.0,1998,100.0,1998,100.0,1998,100.0,1998
1981,100.0,1997 -- ,when did the first build a bear open,100.0,1997,100.0,1997,100.0,1997,100.0,1997,100.0,1997
1988,100.0,joint resolution -- ,a resolution that is passed by both houses of congress,100.0,joint resolution,100.0,joint resolution,100.0,joint resolution,100.0,joint resolution,100.0,joint resolution
9028,100.0,The Weeknd -- ,who sang the song i feel it coming,100.0,The Weeknd,0.0,No Edit,0.0,No Edit,100.0,The Weeknd,100.0,the Weeknd
1999,100.0,Glenn Frey -- ,who sings lead on new kid in town,100.0,Glenn Frey,100.0,Glenn Frey,100.0,Glenn Frey,100.0,Glenn Frey,100.0,Glenn Frey
5097,100.0,Isaac Asimov -- ,who is the author of the fun they had,100.0,Isaac Asimov,100.0,Isaac Asimov.,100.0,Isaac Asimov.,100.0,Isaac Asimov.,100.0,Isaac Asimov.
5535,100.0,Manchester United -- ,who won the football world cup in 2008,100.0,Manchester United,100.0,Manchester United,100.0,Manchester United,100.0,Manchester United,100.0,Manchester United
5565,100.0,Cat Stevens -- ,who wrote the song here comes my baby,100.0,Cat Stevens,100.0,Cat Stevens,100.0,Cat Stevens,100.0,Cat Stevens.,100.0,Cat Stevens.
