,Question,GT Answer,GT Topic,2008 Bleu Score,2008 Predicted,2008 Topic,2014 Bleu Score,2014 Predicted,2014 Topic,2016 Bleu Score,2016 Predicted,2016 Topic,2018 Bleu Score,2018 Predicted,2018 Topic,2020 Bleu Score,2020 Predicted,2020 Topic,2021 Bleu Score,2021 Predicted,2021 Topic,max - min
0,what do the 3 dots mean in math,"['the therefore sign', 'a logical consequence , such as the conclusion of a syllogism', 'the therefore sign ( ∴ ) is generally used before a logical consequence , such as the conclusion of a syllogism', 'therefore sign']",Therefore sign,0.0,SIGN,Sign (disambiguation),0.0,Signum,Signum,25.0,sequence of graphemes (letters,Sign (linguistics),17.182231969774307,sign is an entity which indicates another entity,Sign (disambiguation),0.0,Signum,Signum,0.0,Signum,Signum,25.0
1,who wrote the song photograph by ringo starr,"['Richard Starkey', 'Ringo Starr']",Photograph (Ringo Starr song),25.0,Starr on his own,Photograph (Ringo Starr song),0.0,Barry Feinstein,Photograph (Ringo Starr song),0.0,George Harrison,Photograph (Ringo Starr song),0.0,George Harrison,Photograph (Ringo Starr song),0.0,George Harrison,Photograph (Ringo Starr song),0.0,George Harrison,Photograph (Ringo Starr song),25.0
2,who is playing the halftime show at super bowl 2016,"['Coldplay with special guest performers Beyoncé and Bruno Mars', 'Coldplay', 'British rock group Coldplay with special guest performers Beyoncé and Bruno Mars']",Super Bowl 50 halftime show,8.333333333333332,"Bryan Adams, Patti LaBelle, Rufus Wainright, Peter Nero and the Philly Pops",Philadelphia Freedom Concert,0.0,Madonna,Super Bowl XLVI halftime show,100.0,Coldplay,Super Bowl 50 halftime show,100.0,Coldplay,Super Bowl 50 halftime show,0.0,Gaga,Super Bowl LI halftime show,0.0,Lady Gaga,Super Bowl LI halftime show,100.0
3,star wars the clone wars anakin voice actor,"[""Matthew MacKendree `` Matt '' Lanter""]",Matt Lanter,0.0,Paul Shields,Lansdown (film),0.0,Paul Shields,Lansdown (film),0.0,German,Markus Lanz,0.0,German,Markus Lanz,0.0,Paul Shields,Lansdown (film),0.0,Paul Shields,Lansdown (film),0.0
4,to aru kagaku no railgun s episode 3,['Project Radio Noise'],List of A Certain Scientific Railgun episodes,0.0,Tau Ceti Prime,Relativity Theory (The Outer Limits),0.0,ASCII,A Certain Scientific Railgun,0.0,"Media.
Manga",A Certain Scientific Railgun,0.0,ASCII,A Certain Scientific Railgun,0.0,theme music,A Certain Scientific Railgun,0.0,oto,A Certain Scientific Railgun,0.0
5,who won the 2017 sports personality of the year,['Mo Farah'],2017 BBC Sports Personality of the Year Award,0.0,Nigel Mansell and Damon Hill,BBC Sports Personality of the Year,0.0,Oscar Pistorius,BBC Sports Personality of the Year Helen Rollason Award,0.0,Christopher Chataway,BBC Sports Personality of the Year Award,66.66666666666666,Sir Mo Farah,BBC Sports Personality of the Year Award,0.0,the winner selected by public vote from a twelve-person shortlist,2017 BBC Sports Personality of the Year Award,0.0,the winner selected by public vote from a twelve-person shortlist,2017 BBC Sports Personality of the Year Award,66.66666666666666
6,where was the world economic forum held this year,"['Davos , a mountain resort in Graubünden , in the eastern Alps region of Switzerland', 'Davos']",World Economic Forum,100.0,Davos,World Economic Forum,100.0,Davos,World Economic Forum,0.0,The WIF 2008,World Investment Forum,5.555555555555554,The biennial World Investment Forum (WIF) is organized by the United Nations Conference on Trade and Development (UNCTAD),World Investment Forum,100.0,Davos,World Economic Forum,100.0,Davos,World Economic Forum,100.0
7,where are the giant redwoods located in california,"['Humboldt County', 'from the northern California coast north to the southern Oregon Coast', 'the coast of northern California']",Redwood National and State Parks,17.794164509262398,San Francisco and other places on the West Coast,Redwood National and State Parks,17.794164509262398,San Francisco and other places on the West Coast,Redwood National and State Parks,17.794164509262398,San Francisco and other places on the West Coast,Redwood National and State Parks,17.794164509262398,San Francisco and other places on the West Coast,Redwood National and State Parks,17.794164509262398,San Francisco and other places on the West Coast,Redwood National and State Parks,15.217391304347828,"along the coast of northern California. Comprising Redwood National Park (established 1968) and California's Del Norte Coast, Jedediah Smith, and Prairie Creek Redwoods State Parks (dating from the 1920s), the combined RNSP contain , and feature old-growth temperate rainforests. Located within Del Norte and Humboldt Counties",Redwood National and State Parks,2.57677320491457
8,who has made the most premier league appearances,['Gareth Barry'],List of Premier League players with 500 or more appearances,0.0,players that have appeared 300 or more times for a club that played in the English Premier League at that time.,List of Premier League players,0.0,This is a list of Premier League players who have made 300 or more appearances in the Premier League,List of Premier League players,0.0,12 players have managed to accrue 500 or more appearances in the Premier League,List of Premier League players with 500 or more appearances,5.128205128205128,"Gareth Barry broke Giggs' record by playing his 633rd match, West Bromwich Albion's 2–0 loss at Arsenal. At the time of breaking the record, Barry ranked 8th in English top division appearances since the Second World War, trailing Giggs",List of Premier League players with 500 or more appearances,0.0,These are lists of Premier League players who have made the most appearances in the Premier League,List of Premier League players,0.0,13 players have accrued 500 or more appearances in the Premier League,List of Premier League players,5.128205128205128
9,who was the first chief minister of west bengal,"['Prafulla Chandra Ghosh', 'Prafulla Chandra Ghosh of the Indian National Congress']",List of Chief Ministers of West Bengal,0.0,Visva Bharati,Governor of West Bengal,100.0,Prafulla Chandra Ghosh,List of Chief Ministers of West Bengal,100.0,Prafulla Chandra Ghosh,List of Chief Ministers of West Bengal,100.0,Prafulla Chandra Ghosh,List of Chief Ministers of West Bengal,100.0,Prafulla Chandra Ghosh,List of chief ministers of West Bengal,100.0,Prafulla Chandra Ghosh,List of chief ministers of West Bengal,100.0
