,Question,GT Answer,GT Topic,2008 Predicted,2008 Topic,2014 Bleu Score,2014 Predicted,2014 Topic,2016 Bleu Score,2016 Predicted,2016 Topic,2018 Bleu Score,2018 Predicted,2018 Topic,max - min
0,what are the main crops grown in the united states,['Corn'],Agriculture in the United States,"Corn, turkeys, tomatoes, potatoes, peanuts, and sunflower seeds, tobacco, rice, and indigo, genetically modified food, cotton, wheat, tobacco, marijuana, fruits and vegetables, timber, coal and oil, Gossypium hirsutum, known as Upland Cotton or Mexican Cotton, is the most widely planted species of cotton, Soybeans, black locust, bald cypress and Southern magnolia","{'Corn, turkeys, tomatoes, potatoes, peanuts, and sunflower seeds': 'Agriculture in the United States', 'tobacco, rice, and indigo': 'Economic history of the United States', 'genetically modified food': 'United States', 'cotton, wheat, tobacco': 'Economic history of the United States', 'marijuana': 'United States', 'fruits and vegetables': 'Produce', 'timber, coal and oil': 'Economic history of the United States', 'Gossypium hirsutum, known as Upland Cotton or Mexican Cotton, is the most widely planted species of cotton': 'Gossypium hirsutum', 'Soybeans': 'Agriculture in the United States', 'black locust, bald cypress and Southern magnolia': 'Flora of the United States'}",100.0,"Corn, turkeys, tomatoes, potatoes, peanuts, and sunflower seeds",Agriculture in the United States,100.0,"Corn, turkeys, tomatoes, potatoes, peanuts, and sunflower seeds",Agriculture in the United States,100.0,"Corn, turkeys, tomatoes, potatoes, peanuts, and sunflower seeds",Agriculture in the United States,0.0
1,who is the owner of the mandalay bay in vegas,['MGM Resorts International'],Mandalay Bay,"MGM Mirage, MGM Mirage, Anthony Marnell III, Dubai World, Glenn Schaeffer, Las Vegas Sands came out on top and were awarded the rights to develop the land. The Resort is currently known as The Marina Bay Sands and is forecasted to open in 2009. This resort will be the first casino allowed in Singapore in the last 40 years.
Lastly, the las Vegas Sands has development plans for a resort on Hengqin Island, China, along with a gambling hall in Pennsylvania. Reports also indicate an interest in a new casino resort in Marlboro, MA. There is also speculation that LVS has bids for places in Europe and this shows the vast array of development sites that Las Vegas Sands has proposed.
Sands Macao Hotel.
On September 29, 2007, Las Vegas Sands Corp.'s Sheldon Adelson, Mandalay Resort Group, Las Vegas Sands, Steve Wynn, Mandalay Bay Resort and Casino","{'MGM Mirage': 'Mandalay Bay Convention Center', 'Anthony Marnell III': 'MGM Mirage', 'Dubai World': 'MGM Mirage', 'Glenn Schaeffer': 'Fontainebleau Resorts', ""Las Vegas Sands came out on top and were awarded the rights to develop the land. The Resort is currently known as The Marina Bay Sands and is forecasted to open in 2009. This resort will be the first casino allowed in Singapore in the last 40 years.\nLastly, the las Vegas Sands has development plans for a resort on Hengqin Island, China, along with a gambling hall in Pennsylvania. Reports also indicate an interest in a new casino resort in Marlboro, MA. There is also speculation that LVS has bids for places in Europe and this shows the vast array of development sites that Las Vegas Sands has proposed.\nSands Macao Hotel.\nOn September 29, 2007, Las Vegas Sands Corp.'s Sheldon Adelson"": 'Las Vegas Sands', 'Mandalay Resort Group': 'Mandalay Resort Group', 'Las Vegas Sands': 'Las Vegas Sands', 'Steve Wynn': 'MGM Mirage', 'Mandalay Bay Resort and Casino': 'Mandalay Bay Events Center'}",100.0,MGM Mirage,Mandalay Bay,100.0,MGM Mirage,Mandalay Bay,100.0,MGM Mirage,Mandalay Bay,0.0
2,what is the shannara chronicles season 2 based on,['The Sword of Shannara Trilogy'],The Shannara Chronicles,"The Elfstones of Shannara, The ""Heritage of Shannara, The ""Heritage of Shannara, The Original Shannara Trilogy, the Heritage of Shannara, Tolkien For Dummies, The Voyage of the Jerle Shannara, The Shannara family, Drenai Series, Genesis of Shannara Series","{'The Elfstones of Shannara': 'Shannara', 'The ""Heritage of Shannara': 'The Elf Queen of Shannara', 'The Original Shannara Trilogy': 'The Wishsong of Shannara', 'the Heritage of Shannara': 'The Voyage of the Jerle Shannara', 'Tolkien For Dummies': 'The Sword of Shannara', 'The Voyage of the Jerle Shannara': 'Shannara', 'The Shannara family': 'Shannara', 'Drenai Series': 'The First Chronicles of Druss the Legend', 'Genesis of Shannara Series': 'The Sword of Shannara'}",100.0,The Elfstones of Shannara,Shannara,100.0,"The ""Heritage of Shannara",The Elf Queen of Shannara,100.0,The Elfstones,The Shannara Chronicles,0.0
3,when did michigan last win a national championship,['1989'],Michigan Wolverines men's basketball,"2001, 1896, 2005, 1958, 1951, 1988, finishing 2nd in 1994, 1989, 2000, 2007, 1951, 1952, 1955, 1957, 1965 and 1966","{'2001': 'Paul Bunyan Trophy', '1896': 'Michigan Wolverines', '2005': 'Michigan State Spartans', '1958': 'Michigan State Spartans', '1951': 'Michigan State Spartans football', '1988, finishing 2nd in 1994': 'Michigan Wolverines', '1989': 'Michigan Wolverines', '2000': ""Michigan State Spartans men's basketball"", '2007': 'Michigan State Spartans', '1951, 1952, 1955, 1957, 1965 and 1966': 'Michigan State Spartans football'}",100.0,2001,Michigan–Michigan State football rivalry,100.0,2001,Michigan–Michigan State football rivalry,100.0,2000,Michigan State Spartans men's basketball,0.0
4,who owns the majority of the us debt,"['Japan and China', 'China', 'the public', 'Japan']",National debt of the United States,"foreign, the public, households, pension funds, insurance companies and banks, pension funds, banks and mutual funds, stock holders, public, creditors who hold U.S. Debt Instruments, civil society groups, $25.2 trillion","{'foreign': 'United States public debt', 'the public': 'United States public debt', 'households': 'Bond (finance)', 'pension funds, insurance companies and banks': 'Bond (finance)', 'pension funds, banks and mutual funds': 'Bond market', 'stock holders': 'Bond (finance)', 'public': 'Government debt', 'creditors who hold U.S. Debt Instruments': 'United States public debt', 'civil society groups': 'Government debt', '$25.2 trillion': 'Bond market'}",100.0,the public,History of the United States public debt,100.0,the public,History of the United States public debt,100.0,the public,National debt of the United States,0.0
5,types of skiing in the winter olympics 2018,['Downhill'],Alpine skiing at the 2018 Winter Olympics,"Alpine skiing, slalom (super-G), and downhill (DH), Paralympic Nordic skiing, cross-country, Ski racing, Alpine skiing, Speed skiing, aerials, and sometimes ""new-school"" events such as halfpipe, big air, slopestyle, and skiercross, jumps, alpine disciplines","{'Alpine skiing': 'Alpine skiing', 'slalom (super-G), and downhill (DH)': 'Alpine skiing', 'Paralympic Nordic skiing': 'Paralympic Nordic skiing', 'cross-country': 'Skiathlon', 'Ski racing': 'Ski racing', 'Speed skiing': 'Speed skiing', 'aerials, and sometimes ""new-school"" events such as halfpipe, big air, slopestyle, and skiercross': 'Alpine skiing', 'jumps': 'Downhill', 'alpine disciplines': 'Downhill'}",100.0,Alpine skiing,Alpine skiing at the Winter Olympics,100.0,Alpine skiing,Alpine skiing,100.0,Nordic skiing,Nordic skiing at the 2018 Winter Olympics,0.0
6,who did the 49ers beat in the super bowls,['Cincinnati Bengals'],San Francisco 49ers,"Dallas Cowboys, Washington Redskins, Miami Dolphins, Denver Broncos, Cincinnati Bengals, Miami Dolphins, Miami Dolphins, Cincinnati Bengals, New York Jets, New York Giants, 21-10, and the Chicago Bears","{'Dallas Cowboys': 'San Francisco 49ers', 'Washington Redskins': 'San Francisco 49ers', 'Miami Dolphins': 'Super Bowl XXIII', 'Denver Broncos': 'Super Bowl XXIV', 'Cincinnati Bengals': 'Super Bowl XXIII', 'New York Jets': 'Super Bowl XIX', 'New York Giants, 21-10, and the Chicago Bears': 'Super Bowl XIX'}",100.0,Dallas Cowboys,San Francisco 49ers,100.0,Dallas Cowboys,Super Bowl XLVII,100.0,Dallas Cowboys,San Francisco 49ers,0.0
7,when was the south asian association for regional co-operation (saarc) formed,"['8 December 1985', 'December 1985']",South Asian Association for Regional Cooperation,"1982, December 8, 1985, 1983, 12th South Asian Association for Regional Cooperation (SAARC) summit at Islamabad, capital of Pakistan on 6 January 2004, 1956, September 8, 1954, 1 April 1980, 1999, mid-1970s, August 8, 1967","{'1982': 'South Asia Co-operative Environment Programme', 'December 8, 1985': 'South Asian Association for Regional Cooperation', '1983': 'South Asian Games', '12th South Asian Association for Regional Cooperation (SAARC) summit at Islamabad, capital of Pakistan on 6 January 2004': 'South Asia Free Trade Agreement', '1956': 'Association of Southeast Asian Nations', 'September 8, 1954': 'Southeast Asia Treaty Organization', '1 April 1980': 'Southern African Development Coordination Conference', '1999': 'SAARC Consortium on Open and Distance Learning', 'mid-1970s': 'Southern African Development Community', 'August 8, 1967': 'Association of Southeast Asian Nations'}",100.0,1980,Southern African Development Community,100.0,1985,South Asian Association for Regional Cooperation,100.0,1985,South Asian Association for Regional Cooperation,0.0
8,new york heart association functional classification of angina,['II'],New York Heart Association Functional Classification,"high risk acute coronary syndromes, Angina pectoris, stable or unstable angina, Cardiovascular effects, Prinzmetal, Neural effects, Angiotensin II is the most important Gq stimulator of the heart during hypertrophy, Angina is due to a temporary reduction in the flow of blood to part of the heart muscle and does not damage the heart itself, Prinzmetal's angina, also known as variant angina or angina inversa, is a syndrome typically consisting of angina (cardiac chest pain) at rest that occurs in cycles. It is caused by vasospasm, a narrowing of the coronary arteries caused by contraction of the smooth muscle tissue in the vessel walls rather than directly by atherosclerosis (buildup of fatty plaque and hardening of the arteries). 
Eponym.
It was first described as ""A variant form of angina pectoris, cavernous hemangiomas","{'high risk acute coronary syndromes': 'Angina pectoris', 'Angina pectoris': 'Angina pectoris', 'stable or unstable angina': 'Angina pectoris', 'Cardiovascular effects': 'Angiotensin', 'Prinzmetal': ""Prinzmetal's angina"", 'Neural effects': 'Angiotensin', 'Angiotensin II is the most important Gq stimulator of the heart during hypertrophy': 'Angiotensin', 'Angina is due to a temporary reduction in the flow of blood to part of the heart muscle and does not damage the heart itself': 'Angina', 'Prinzmetal\'s angina, also known as variant angina or angina inversa, is a syndrome typically consisting of angina (cardiac chest pain) at rest that occurs in cycles. It is caused by vasospasm, a narrowing of the coronary arteries caused by contraction of the smooth muscle tissue in the vessel walls rather than directly by atherosclerosis (buildup of fatty plaque and hardening of the arteries). \nEponym.\nIt was first described as ""A variant form of angina pectoris': ""Prinzmetal's angina"", 'cavernous hemangiomas': 'Angiomatosis'}",100.0,Angina pectoris,Angina pectoris,100.0,Angina pectoris,Angina pectoris,100.0,stable angina,Angina,0.0
9,is jaffa cakes a biscuit or a cake,"['cakes', 'the Jaffa cake should be considered a cake for tax purposes', 'biscuit - sized cakes', 'Cake']",Jaffa Cakes,"Fat Rascal, Tiffin, cakes, Cake or biscuit?
Under UK law, no VAT is charged on biscuits and cakes — they are ""zero rated"". Chocolate ""covered"" biscuits, however, are classed as luxury items and are subject to VAT at 17.5%. McVitie's classed its Jaffa Cakes as cakes, cake, biscuit, Jaffa Cakes, Blessed is the HaShem our God, the God of Israel, of Whose we have eaten, Blessed, cakes","{'Fat Rascal': 'Fat Rascal', 'Tiffin': 'Tiffin (confectionery)', 'cakes': 'Biscuit', 'Cake or biscuit?\nUnder UK law, no VAT is charged on biscuits and cakes — they are ""zero rated"". Chocolate ""covered"" biscuits, however, are classed as luxury items and are subject to VAT at 17.5%. McVitie\'s classed its Jaffa Cakes as cakes': 'Jaffa Cakes', 'cake': 'Jaffa Cakes', 'biscuit': 'Biscuit', 'Jaffa Cakes': 'Biscuit', 'Blessed is the HaShem our God, the God of Israel, of Whose we have eaten': 'Birkat Hamazon', 'Blessed': 'Birkat Hamazon'}",100.0,biscuits,Jaffa Cakes,100.0,cake,Biscuit,100.0,cake,Jaffa Cakes,0.0
