,Question,GT Answer,GT Topic,2008 Predicted,2008 Topic,2014 Bleu Score,2014 Predicted,2014 Topic,2016 Bleu Score,2016 Predicted,2016 Topic,2018 Bleu Score,2018 Predicted,2018 Topic,2020 Bleu Score,2020 Predicted,2020 Topic,2021 Bleu Score,2021 Predicted,2021 Topic,max - min
0,what are the main crops grown in the united states,['Corn'],Agriculture in the United States,"Corn, turkeys, tomatoes, potatoes, peanuts, and sunflower seeds, Soybeans, tobacco, barley, and oats","{'Corn, turkeys, tomatoes, potatoes, peanuts, and sunflower seeds': 'Agriculture in the United States', 'Soybeans': 'Agriculture in the United States', 'tobacco, barley, and oats': 'Agriculture in the United States'}",100.0,"Corn, turkeys, tomatoes, potatoes, peanuts, and sunflower seeds",Agriculture in the United States,100.0,"Corn, turkeys, tomatoes, potatoes, peanuts, and sunflower seeds",Agriculture in the United States,100.0,"Corn, turkeys, tomatoes, potatoes, peanuts, and sunflower seeds",Agriculture in the United States,100.0,"Corn, turkeys, tomatoes, potatoes, peanuts, and sunflower seeds",Agriculture in the United States,100.0,"Corn, turkeys, tomatoes, potatoes, peanuts, and sunflower seeds",Agriculture in the United States,0.0
1,who is the owner of the mandalay bay in vegas,['MGM Resorts International'],Mandalay Bay,,None,100.0,MGM Resorts International,Mandalay Bay,100.0,MGM Resorts International,Mandalay Bay,100.0,MGM Resorts International,Mandalay Bay,60.653065971263345,MGM Resorts,Mandalay Bay,50.0,MGM Mirage,Mandalay Bay,50.0
2,what is the shannara chronicles season 2 based on,['The Sword of Shannara Trilogy'],The Shannara Chronicles,,None,-1.0,None,None,38.94003915357025,"The Elfstones of Shannara"",",The Shannara Chronicles,100.0,The Elfstones,The Shannara Chronicles,-1.0,None,None,50.0,Shannara Chronicles,The Shannara Chronicles,101.0
3,when did michigan last win a national championship,['1989'],Michigan Wolverines men's basketball,,None,0.0,2013,Michigan Wolverines men's basketball,100.0,2013,Michigan Wolverines men's basketball,100.0,2013,Michigan Wolverines men's basketball,100.0,2013,Michigan Wolverines men's basketball,100.0,2013,Michigan Wolverines men's basketball,100.0
4,who owns the majority of the us debt,"['Japan and China', 'China', 'the public', 'Japan']",National debt of the United States,,None,100.0,China,National debt of the United States,100.0,the public,National debt of the United States,100.0,the public,National debt of the United States,100.0,the public,National debt of the United States,100.0,the public,National debt of the United States,0.0
5,types of skiing in the winter olympics 2018,['Downhill'],Alpine skiing at the 2018 Winter Olympics,,None,-1.0,None,None,-1.0,None,None,0.0,Alpine skiing at the 2018 Winter Olympics is scheduled for 12 to 24 February at Yongpyong Alpine Centre (slalom and giant slalom,Alpine skiing at the 2018 Winter Olympics,-1.0,None,None,86.36363636363636,Alpine skiing at the 2018 Winter Olympics was held from 12 to 24 February at Yongpyong Alpine Centre (slalom and giant slalom,Alpine skiing at the 2018 Winter Olympics,87.36363636363636
6,who did the 49ers beat in the super bowls,['Cincinnati Bengals'],San Francisco 49ers,"Dallas Cowboys, Washington Redskins, Miami Dolphins","{'Dallas Cowboys': 'San Francisco 49ers', 'Washington Redskins': 'San Francisco 49ers', 'Miami Dolphins': 'San Francisco 49ers'}",100.0,Dallas Cowboys,San Francisco 49ers,100.0,Miami Dolphins,San Francisco 49ers,100.0,Dallas Cowboys,San Francisco 49ers,100.0,Dallas Cowboys,San Francisco 49ers,100.0,Washington Redskins,San Francisco 49ers,0.0
7,when was the south asian association for regional co-operation (saarc) formed,"['8 December 1985', 'December 1985']",South Asian Association for Regional Cooperation,"December 8, 1985, 1983, 2006","{'December 8, 1985': 'South Asian Association for Regional Cooperation', '1983': 'South Asian Association for Regional Cooperation', '2006': 'South Asian Association for Regional Cooperation'}",100.0,1985,South Asian Association for Regional Cooperation,100.0,1985,South Asian Association for Regional Cooperation,100.0,1985,South Asian Association for Regional Cooperation,100.0,1985,South Asian Association for Regional Cooperation,100.0,1985,South Asian Association for Regional Cooperation,0.0
8,new york heart association functional classification of angina,['II'],New York Heart Association Functional Classification,New York Heart Association (NYHA) Functional Classification,{'New York Heart Association (NYHA) Functional Classification': 'New York Heart Association Functional Classification'},-1.0,None,None,5.970149253731344,"New York Heart Association (NYHA) Functional Classification provides a simple way of classifying the extent of heart failure. It places patients in one of four categories based on how much they are limited during physical activity; the limitations/symptoms are in regard to normal breathing and varying degrees in shortness of breath and/or angina pain.
It originated in 1928, when no measurements of cardiac function were possible, to provide a common language for physicians to communicate. Despite difficulties in applying it, such as the challenge of consistently classifying patients in class II or III, because functional capacity is such a powerful determinant of outcome it remains arguably the most important prognostic marker in routine clinical use in heart failure today.
Another frequently used functional classification of cardiovascular disease is the Canadian Cardiovascular Society grading of angina pectoris",New York Heart Association Functional Classification,-1.0,None,None,97.75844450919149,"New York Heart Association (NYHA) Functional Classification provides a simple way of classifying the extent of heart failure. It places patients in one of four categories based on how much they are limited during physical activity; the limitations/symptoms are in regard to normal breathing and varying degrees in shortness of breath and/or angina.
It originated in 1902, when no measurements of cardiac function were possible, to provide a common language for physicians to communicate. Despite difficulties in applying it, such as the challenge of consistently classifying patients in class II or III, because functional capacity is such a powerful determinant of outcome it remains arguably the most important prognostic marker in routine clinical use in heart failure today.
Another frequently used functional classification of cardiovascular disease is the Canadian Cardiovascular Society grading of angina pectoris",New York Heart Association Functional Classification,75.0,"New York Heart Association (NYHA) Functional Classification provides a simple way of classifying the extent of heart failure. It places patients in one of four categories based on how much they are limited during physical activity; the limitations/symptoms are in regard to normal breathing and varying degrees in shortness of breath and/or angina.
It originated in 1928, when no measurements of cardiac function were possible, to provide a common language for physicians to communicate. Despite difficulties in applying it, such as the challenge of consistently classifying patients in class II or III, because functional capacity is such a powerful determinant of outcome it remains arguably the most important prognostic marker in routine clinical use in heart failure today. With time the classification system evolved and updated multiple times. Presently, the ninth edition of the NYHA classification is being used in the clinical practice released in the year 1994 by the Criteria Committee of the American Heart Association, New York City Affiliate.
Another frequently used functional classification of cardiovascular disease is the Canadian Cardiovascular Society grading of angina pectoris",New York Heart Association Functional Classification,98.75844450919149
9,is jaffa cakes a biscuit or a cake,"['cakes', 'the Jaffa cake should be considered a cake for tax purposes', 'biscuit - sized cakes', 'Cake']",Jaffa Cakes,"cakes, Cake or biscuit?
Under UK law, no VAT is charged on biscuits and cakes — they are ""zero rated"". Chocolate ""covered"" biscuits, however, are classed as luxury items and are subject to VAT at 17.5%. McVitie's classed its Jaffa Cakes as cakes, cake","{'cakes': 'Jaffa Cakes', 'Cake or biscuit?\nUnder UK law, no VAT is charged on biscuits and cakes — they are ""zero rated"". Chocolate ""covered"" biscuits, however, are classed as luxury items and are subject to VAT at 17.5%. McVitie\'s classed its Jaffa Cakes as cakes': 'Jaffa Cakes', 'cake': 'Jaffa Cakes'}",100.0,biscuits,Jaffa Cakes,100.0,cake,Jaffa Cakes,100.0,cake,Jaffa Cakes,100.0,cake,Jaffa Cakes,100.0,cake,Jaffa Cakes,0.0
