,Question,GT Answer,GT Topic,2014 Predicted,2014 Topic,2016 Bleu Score,2016 Predicted,2016 Topic,2018 Bleu Score,2018 Predicted,2018 Topic,2020 Bleu Score,2020 Predicted,2020 Topic,max - min
0,Which NFL team represented the AFC at Super Bowl 50?,['Denver Broncos'],Super_Bowl_50,Denver,{'Denver': 'NFL International Series'},100.0,Denver Broncos,Super Bowl 50,0.0,New England Patriots,2017–18 NFL playoffs,100.0,New England Patriots,Super Bowl LII,100.0
1,Which NFL team represented the NFC at Super Bowl 50?,['Carolina Panthers'],Super_Bowl_50,Philadelphia Eagles,{'Philadelphia Eagles': 'Super Bowl XXXIX'},0.0,New York Giants,Super Bowl,100.0,Philadelphia Eagles,Super Bowl XXXIX,100.0,Philadelphia Eagles,2017–18 NFL playoffs,100.0
2,Where did Super Bowl 50 take place?,"['Santa Clara, California', ""Levi's Stadium"", ""Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.""]",Super_Bowl_50,,None,100.0,Levi's Stadium,Super Bowl 50 halftime show,0.0,ESPN Deportes,Super Bowl 50,100.0,Levi's Stadium,Super Bowl 50 halftime show,100.0
3,Which NFL team won Super Bowl 50?,['Denver Broncos'],Super_Bowl_50,,None,36.787944117144235,Denver,Super Bowl 50,100.0,Denver,Super Bowl 50,0.0,CBS,Super Bowl LIII,100.0
4,What color was used to emphasize the 50th anniversary of the Super Bowl?,['gold'],Super_Bowl_50,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
5,What was the theme of Super Bowl 50?,"['""golden anniversary""', 'gold-themed', 'gold']",Super_Bowl_50,,None,-1.0,None,None,-1.0,None,None,0.0,rock,Super Bowl 50 halftime show,1.0
6,What day was the game played on?,"['February 7, 2016', 'February 7']",Super_Bowl_50,"December 18, 1932","{'December 18, 1932': '1932 NFL Playoff Game'}",50.0,December 29,1963 NFL Championship Game,100.0,December 29,1963 NFL Championship Game,100.0,December 29,1963 NFL Championship Game,50.0
7,What is the AFC short for?,['American Football Conference'],Super_Bowl_50,American Football Conference,{'American Football Conference': 'List of AFC champions'},100.0,American Football Conference,AFC East,100.0,American Football Conference,AFC East,100.0,American Football Conference,List of AFC champions,0.0
8,What does AFC stand for?,['American Football Conference'],Super_Bowl_50,Asian Football Confederation,{'Asian Football Confederation': 'Asian Football Confederation'},100.0,Asian Football Confederation,Asian Football Confederation,-1.0,None,None,100.0,Asian Football Confederation,Asian Football Confederation,101.0
9,What day was the Super Bowl played on?,"['February 7, 2016', 'February 7']",Super_Bowl_50,"January 17, 1971","{'January 17, 1971': 'Super Bowl V'}",33.33333333333333,"January 12, 1975",Super Bowl IX,33.33333333333333,"January 28, 2001",Super Bowl,100.0,"January 12, 1975",Super Bowl IX,66.66666666666667
