,Question,GT Answer,GT Topic,2008 Bleu Score,2008 Predicted,2008 Topic,2014 Bleu Score,2014 Predicted,2014 Topic,2016 Bleu Score,2016 Predicted,2016 Topic,2018 Bleu Score,2018 Predicted,2018 Topic,max - min
0,what are the main crops grown in the united states,['Corn'],Agriculture in the United States,0.0,"Corn, turkeys, tomatoes, potatoes, peanuts, and sunflower seeds",Agriculture in the United States,0.0,"corn, soybeans and wheat",Issues in American commodity farming,0.0,"fruits, vegetables, grains, and fiber crops",Agriculture in the United States,7.6923076923076925,Corn growth is dominated by west north central Iowa and east central Illinois,Corn production in the United States,7.6923076923076925
1,who is the owner of the mandalay bay in vegas,['MGM Resorts International'],Mandalay Bay,30.326532985631673,MGM Mirage,Mandalay Bay Convention Center,100.0,MGM Resorts International,Mandalay Bay,100.0,MGM Resorts International,Mandalay Bay,100.0,MGM Resorts International,Mandalay Bay,69.67346701436833
2,what is the shannara chronicles season 2 based on,['The Sword of Shannara Trilogy'],The Shannara Chronicles,58.41005873035536,The Elfstones of Shannara,Shannara,77.8800783071405,The Sword of Shannara,The Sword of Shannara,58.41005873035536,"The ""Heritage of Shannara",The Elf Queen of Shannara,58.41005873035536,"The ""Heritage of Shannara",The Elf Queen of Shannara,19.470019576785134
3,when did michigan last win a national championship,['1989'],Michigan Wolverines men's basketball,100.0,1989,Michigan Wolverines,0.0,2013,Michigan Wolverines men's basketball,0.0,1947,Michigan Wolverines,0.0,1988–,List of Michigan Wolverines men's basketball seasons,100.0
4,who owns the majority of the us debt,"['Japan and China', 'China', 'the public', 'Japan']",National debt of the United States,100.0,the public,United States public debt,100.0,China,National debt of the United States,100.0,the public,History of the United States public debt,100.0,the public,National debt of the United States,0.0
5,types of skiing in the winter olympics 2018,['Downhill'],Alpine skiing at the 2018 Winter Olympics,0.0,Alpine skiing,Alpine skiing,0.0,Alpine skiing,Alpine skiing at the Winter Olympics,0.0,Alpine skiing,Alpine skiing,0.0,Freestyle,Freestyle skiing at the 2018 Winter Olympics,0.0
6,who did the 49ers beat in the super bowls,['Cincinnati Bengals'],San Francisco 49ers,100.0,Cincinnati Bengals,Super Bowl XXIII,0.0,Dallas Cowboys,San Francisco 49ers,100.0,Cincinnati Bengals,Super Bowl XXIV,100.0,Cincinnati Bengals,Super Bowl XXIV,100.0
7,when was the south asian association for regional co-operation (saarc) formed,"['8 December 1985', 'December 1985']",South Asian Association for Regional Cooperation,66.66666666666666,"December 8, 1985",South Asian Association for Regional Cooperation,100.0,December 1985,List of SAARC summits,100.0,8 December 1985,South Asian Association for Regional Cooperation,100.0,8 December 1985,South Asian Association for Regional Cooperation,33.33333333333334
8,new york heart association functional classification of angina,['II'],New York Heart Association Functional Classification,7.6923076923076925,Angiotensin II is the most important Gq stimulator of the heart during hypertrophy,Angiotensin,0.0,high-risk acute coronary syndromes,Angina pectoris,0.0,Stable angina,Angina pectoris,0.0,Stable angina,Angina,7.6923076923076925
9,is jaffa cakes a biscuit or a cake,"['cakes', 'the Jaffa cake should be considered a cake for tax purposes', 'biscuit - sized cakes', 'Cake']",Jaffa Cakes,100.0,cakes,Biscuit,100.0,cake,Biscuit,100.0,cake,Biscuit,100.0,cake,Jaffa Cakes,0.0
10,how long was dark side of the moon number 1,"['42 : 49', 'a week']",The Dark Side of the Moon,50.0,one week,The Dark Side of the Moon,100.0,a week,The Dark Side of the Moon,100.0,a week,The Dark Side of the Moon,100.0,a week,The Dark Side of the Moon,50.0
11,where is the snooker world open currently held,"['Haikou', 'in Haikou on the Hainan Island', 'Hainan International Exhibition Center']",World Open (snooker),25.0,Crucible Theatre in the English city of Sheffield,World Snooker Championship,100.0,Haikou on the Hainan Island,World Open (snooker),100.0,Haikou on the Hainan Island,World Open (snooker),100.0,Haikou on the Hainan Island,World Open (snooker),75.0
12,who sings the theme song for degrassi the next generation,['Jakalope'],List of Degrassi soundtracks,100.0,Jakalope,Degrassi theme songs and opening credits,0.0,Drake,The N Soundtrack,0.0,Drake,The N Soundtrack,0.0,Drake,The N Soundtrack,100.0
13,when did the first ice age come out,"['March 15 , 2002', '2002']",Ice Age (franchise),100.0,2002,Ice Age (film),100.0,2002,Ice Age (franchise),100.0,2002,Ice Age (franchise),100.0,2002,Ice Age (2002 film),0.0
14,who does dwyane wade play for right now,"['the Miami Heat', 'the Miami Heat of the National Basketball Association ( NBA )', 'Miami Heat']",Dwyane Wade,100.0,Miami Heat,Dwyane Wade,100.0,Miami Heat,Dwyane Wade,100.0,Miami Heat,Dwyane Wade,100.0,Miami Heat,Dwyane Wade,0.0
15,who did johnny manziel play college football for,"['Texas A&M', 'Texas A&M University', 'Texas A&M Aggies']",Johnny Manziel,66.66666666666666,Texas A&amp;M University,Bobby Joe Conrad,66.66666666666666,Texas A&amp;M Aggies,Johnny Manziel,66.66666666666666,Texas A&amp;M Aggies,Johnny Manziel,50.0,Texas A&amp;M,Johnny Manziel,16.666666666666657
16,india south africa test series 2018 highest runs,"['AB de Villiers', '286']",Indian cricket team in South Africa in 2017–18,0.0,123,Indian cricket team in South Africa in 2006-07,0.0,296,Indian cricket team in South Africa in 1996–97,0.0,thirteen wins to India's seven,List of Test cricket matches played between India and South Africa,0.0,Their 222-run stand,Indian cricket team in South Africa in 2013–14,0.0
17,who was last person to be executed in us,['Ruben Cardenas Ramirez'],List of offenders executed in the United States in 2017,0.0,Rainey Bethea,Rainey Bethea,0.0,Rainey Bethea,Rainey Bethea,0.0,"Hurt Hardy, Jr.",Hurt Hardy,0.0,"Hurt Hardy, Jr.",Hurt Hardy,0.0
18,when was united nations convention on the rights of the child created,['20 November 1989'],Convention on the Rights of the Child,13.53352832366127,1989,Convention on the Rights of the Child,13.53352832366127,1989,Declaration of the Rights of the Child,13.53352832366127,1989,Declaration of the Rights of the Child,66.66666666666666,20 November 1959,Declaration of the Rights of the Child,53.133138343005385
19,tallest building in the world of all time,['Burj Khalifa'],History of the world's tallest buildings,50.0,Burj Dubai,List of tallest buildings and structures in the world,100.0,Burj Khalifa,List of tallest buildings in the world,100.0,Burj Khalifa,History of the tallest buildings in the world,100.0,Burj Khalifa,List of tallest buildings and structures,50.0
20,who plays chummy's mother in call the midwife,['Cheryl Campbell'],List of Call the Midwife characters,0.0,Anne Reid,The Mother (film),0.0,Amy McAllister,Amy McAllister,0.0,Ronald Pickup,Jennifer Worth,0.0,Amy McAllister,Amy McAllister,0.0
21,who was the nfl first draft pick 2017,['Myles Garrett'],2017 NFL Draft,0.0,Alex Smith,2005 NFL Draft,0.0,Jadeveon Clowney,List of Houston Texans first-round draft picks,0.0,Tom Brady,2000 NFL draft,0.0,Royce Lewis,2017 Major League Baseball draft,0.0
