,Question,GT Answer,GT Topic,2008 Bleu Score,2008 Predicted,2008 Topic,2014 Bleu Score,2014 Predicted,2014 Topic,2016 Bleu Score,2016 Predicted,2016 Topic,2018 Bleu Score,2018 Predicted,2018 Topic,2020 Bleu Score,2020 Predicted,2020 Topic,2021 Bleu Score,2021 Predicted,2021 Topic,max - min
0,what are the main crops grown in the united states,['Corn'],Agriculture in the United States,0.0,"Corn, turkeys, tomatoes, potatoes, peanuts, and sunflower seeds",Agriculture in the United States,0.0,"Corn, turkeys, tomatoes, potatoes, peanuts, and sunflower seeds",Agriculture in the United States,0.0,"fruits, vegetables, grains, and fiber crops",Agriculture in the United States,0.0,"fruits, vegetables, grains, and fiber crops",Agriculture in the United States,0.0,"Corn, turkeys, tomatoes, potatoes, peanuts, and sunflower seeds",Agriculture in the United States,0.0,"Corn, turkeys, tomatoes, potatoes, peanuts, and sunflower seeds",Agriculture in the United States,0.0
1,who is the owner of the mandalay bay in vegas,['MGM Resorts International'],Mandalay Bay,-1.0,None,None,100.0,MGM Resorts International,Mandalay Bay,100.0,MGM Resorts International,Mandalay Bay,100.0,MGM Resorts International,Mandalay Bay,60.653065971263345,MGM Resorts,Mandalay Bay,30.326532985631673,MGM Mirage,Mandalay Bay,101.0
2,what is the shannara chronicles season 2 based on,['The Sword of Shannara Trilogy'],The Shannara Chronicles,-1.0,None,None,-1.0,None,None,38.94003915357025,"The Elfstones of Shannara"",",The Shannara Chronicles,27.27272727272727,"The Sword of Shannara"" trilogy of fantasy novels by Terry Brooks",The Shannara Chronicles,-1.0,None,None,37.5,"The Sword of Shannara"" trilogy of fantasy novels",The Shannara Chronicles,39.94003915357025
3,when did michigan last win a national championship,['1989'],Michigan Wolverines men's basketball,-1.0,None,None,0.0,2013,Michigan Wolverines men's basketball,0.0,2013,Michigan Wolverines men's basketball,0.0,2013,Michigan Wolverines men's basketball,0.0,2013,Michigan Wolverines men's basketball,0.0,2013,Michigan Wolverines men's basketball,1.0
4,who owns the majority of the us debt,"['Japan and China', 'China', 'the public', 'Japan']",National debt of the United States,-1.0,None,None,100.0,China,National debt of the United States,100.0,the public,National debt of the United States,100.0,the public,National debt of the United States,100.0,the public,National debt of the United States,100.0,the public,National debt of the United States,101.0
5,types of skiing in the winter olympics 2018,['Downhill'],Alpine skiing at the 2018 Winter Olympics,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0,Alpine skiing at the 2018 Winter Olympics is scheduled for 12 to 24 February at Yongpyong Alpine Centre (slalom and giant slalom,Alpine skiing at the 2018 Winter Olympics,-1.0,None,None,0.0,Alpine skiing at the 2018 Winter Olympics was held from 12 to 24 February at Yongpyong Alpine Centre (slalom and giant slalom,Alpine skiing at the 2018 Winter Olympics,1.0
6,who did the 49ers beat in the super bowls,['Cincinnati Bengals'],San Francisco 49ers,0.0,Dallas Cowboys,San Francisco 49ers,0.0,Dallas Cowboys,San Francisco 49ers,0.0,Miami Dolphins,San Francisco 49ers,0.0,Dallas Cowboys,San Francisco 49ers,0.0,Dallas Cowboys,San Francisco 49ers,0.0,Washington Redskins,San Francisco 49ers,0.0
7,when was the south asian association for regional co-operation (saarc) formed,"['8 December 1985', 'December 1985']",South Asian Association for Regional Cooperation,66.66666666666666,"December 8, 1985",South Asian Association for Regional Cooperation,36.787944117144235,1985,South Asian Association for Regional Cooperation,100.0,8 December 1985,South Asian Association for Regional Cooperation,100.0,8 December 1985,South Asian Association for Regional Cooperation,100.0,8 December 1985,South Asian Association for Regional Cooperation,100.0,8 December 1985,South Asian Association for Regional Cooperation,63.212055882855765
8,new york heart association functional classification of angina,['II'],New York Heart Association Functional Classification,0.0,New York Heart Association (NYHA) Functional Classification,New York Heart Association Functional Classification,-1.0,None,None,0.7462686567164181,"New York Heart Association (NYHA) Functional Classification provides a simple way of classifying the extent of heart failure. It places patients in one of four categories based on how much they are limited during physical activity; the limitations/symptoms are in regard to normal breathing and varying degrees in shortness of breath and/or angina pain.
It originated in 1928, when no measurements of cardiac function were possible, to provide a common language for physicians to communicate. Despite difficulties in applying it, such as the challenge of consistently classifying patients in class II or III, because functional capacity is such a powerful determinant of outcome it remains arguably the most important prognostic marker in routine clinical use in heart failure today.
Another frequently used functional classification of cardiovascular disease is the Canadian Cardiovascular Society grading of angina pectoris",New York Heart Association Functional Classification,-1.0,None,None,0.7518796992481204,"New York Heart Association (NYHA) Functional Classification provides a simple way of classifying the extent of heart failure. It places patients in one of four categories based on how much they are limited during physical activity; the limitations/symptoms are in regard to normal breathing and varying degrees in shortness of breath and/or angina.
It originated in 1902, when no measurements of cardiac function were possible, to provide a common language for physicians to communicate. Despite difficulties in applying it, such as the challenge of consistently classifying patients in class II or III, because functional capacity is such a powerful determinant of outcome it remains arguably the most important prognostic marker in routine clinical use in heart failure today.
Another frequently used functional classification of cardiovascular disease is the Canadian Cardiovascular Society grading of angina pectoris",New York Heart Association Functional Classification,0.5681818181818185,"New York Heart Association (NYHA) Functional Classification provides a simple way of classifying the extent of heart failure. It places patients in one of four categories based on how much they are limited during physical activity; the limitations/symptoms are in regard to normal breathing and varying degrees in shortness of breath and/or angina.
It originated in 1928, when no measurements of cardiac function were possible, to provide a common language for physicians to communicate. Despite difficulties in applying it, such as the challenge of consistently classifying patients in class II or III, because functional capacity is such a powerful determinant of outcome it remains arguably the most important prognostic marker in routine clinical use in heart failure today. With time the classification system evolved and updated multiple times. Presently, the ninth edition of the NYHA classification is being used in the clinical practice released in the year 1994 by the Criteria Committee of the American Heart Association, New York City Affiliate.
Another frequently used functional classification of cardiovascular disease is the Canadian Cardiovascular Society grading of angina pectoris",New York Heart Association Functional Classification,1.7518796992481205
9,is jaffa cakes a biscuit or a cake,"['cakes', 'the Jaffa cake should be considered a cake for tax purposes', 'biscuit - sized cakes', 'Cake']",Jaffa Cakes,100.0,cakes,Jaffa Cakes,100.0,cake,Jaffa Cakes,100.0,cake,Jaffa Cakes,100.0,cake,Jaffa Cakes,100.0,cake,Jaffa Cakes,100.0,cake,Jaffa Cakes,0.0
10,how long was dark side of the moon number 1,"['42 : 49', 'a week']",The Dark Side of the Moon,50.0,one week,The Dark Side of the Moon,100.0,a week,The Dark Side of the Moon,100.0,a week,The Dark Side of the Moon,100.0,a week,The Dark Side of the Moon,100.0,a week,The Dark Side of the Moon,100.0,a week,The Dark Side of the Moon,50.0
11,where is the snooker world open currently held,"['Haikou', 'in Haikou on the Hainan Island', 'Hainan International Exhibition Center']",World Open (snooker),-1.0,None,None,100.0,Haikou on the Hainan Island,World Open (snooker),100.0,Haikou on the Hainan Island,World Open (snooker),100.0,Haikou on the Hainan Island,World Open (snooker),33.33333333333333,Scotland at the A.E.C.C. in Aberdeen,World Open (snooker),33.33333333333333,Scotland at the A.E.C.C. in Aberdeen,World Open (snooker),101.0
12,who sings the theme song for degrassi the next generation,['Jakalope'],List of Degrassi soundtracks,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0,Drake,List of Degrassi soundtracks,-1.0,None,None,0.0,Drake,List of Degrassi soundtracks,1.0
13,when did the first ice age come out,"['March 15 , 2002', '2002']",Ice Age (franchise),-1.0,None,None,100.0,2002,Ice Age (franchise),100.0,2002,Ice Age (franchise),100.0,2002,Ice Age (franchise),100.0,2002,Ice Age (franchise),100.0,2002,Ice Age (franchise),101.0
14,who does dwyane wade play for right now,"['the Miami Heat', 'the Miami Heat of the National Basketball Association ( NBA )', 'Miami Heat']",Dwyane Wade,100.0,Miami Heat,Dwyane Wade,100.0,Miami Heat,Dwyane Wade,100.0,Miami Heat,Dwyane Wade,100.0,Miami Heat,Dwyane Wade,100.0,Miami Heat,Dwyane Wade,100.0,Miami Heat,Dwyane Wade,0.0
