,Question,GT Answer,GT Topic,2008 Predicted,2008 Topic,2014 Bleu Score,2014 Predicted,2014 Topic,2016 Bleu Score,2016 Predicted,2016 Topic,2018 Bleu Score,2018 Predicted,2018 Topic,2020 Bleu Score,2020 Predicted,2020 Topic,2021 Bleu Score,2021 Predicted,2021 Topic,max - min
0,what do the 3 dots mean in math,"['the therefore sign', 'a logical consequence , such as the conclusion of a syllogism', 'the therefore sign ( ∴ ) is generally used before a logical consequence , such as the conclusion of a syllogism', 'therefore sign']",Therefore sign,"Therefore, …""., logical implication or entailment, various signs are used in mathematical logic: , , , , . These symbols are then part of a mathematical formula, and are not considered to be punctuation","{'Therefore, …"".': 'Therefore sign', 'logical implication or entailment, various signs are used in mathematical logic: , , , , . These symbols are then part of a mathematical formula, and are not considered to be punctuation': 'Therefore sign'}",0.0,"""therefore",Therefore sign,100.0,"""therefore",Therefore sign,100.0,"""therefore",Therefore sign,100.0,"""therefore",Therefore sign,100.0,therefore,Therefore sign,100.0
1,who wrote the song photograph by ringo starr,"['Richard Starkey', 'Ringo Starr']",Photograph (Ringo Starr song),"George Harrison, George, Starr on his own","{'George Harrison': 'Photograph (Ringo Starr song)', 'George': 'Photograph (Ringo Starr song)', 'Starr on his own': 'Photograph (Ringo Starr song)'}",100.0,George Harrison,Photograph (Ringo Starr song),100.0,George Harrison,Photograph (Ringo Starr song),100.0,George Harrison,Photograph (Ringo Starr song),-1.0,None,None,100.0,George Harrison,Photograph (Ringo Starr song),101.0
2,who is playing the halftime show at super bowl 2016,"['Coldplay with special guest performers Beyoncé and Bruno Mars', 'Coldplay', 'British rock group Coldplay with special guest performers Beyoncé and Bruno Mars']",Super Bowl 50 halftime show,,None,-1.0,None,None,100.0,Coldplay,Super Bowl 50 halftime show,100.0,Coldplay,Super Bowl 50 halftime show,100.0,Coldplay,Super Bowl 50 halftime show,100.0,Coldplay,Super Bowl 50 halftime show,101.0
3,star wars the clone wars anakin voice actor,"[""Matthew MacKendree `` Matt '' Lanter""]",Matt Lanter,"Matthew Mackendree Lanter (born April 1 1983) is an American actor, and model best known for his role as Horace Calloway","{'Matthew Mackendree Lanter (born April 1 1983) is an American actor, and model best known for his role as Horace Calloway': 'Matt Lanter'}",24.525296078096154,"Matthew ""Matt"" Lanter",Matt Lanter,13.53352832366127,Lanter,Matt Lanter,100.0,Lanter,Matt Lanter,100.0,Lanter,Matt Lanter,100.0,Lanter,Matt Lanter,86.46647167633873
4,to aru kagaku no railgun s episode 3,['Project Radio Noise'],List of A Certain Scientific Railgun episodes,,None,0.0,five,List of A Certain Scientific Railgun episodes,0.0,amp,List of A Certain Scientific Railgun episodes,100.0,amp,List of A Certain Scientific Railgun episodes,-1.0,None,None,0.0,"Kuroko's partner in Judgment, the city's public safety committee; and Ruiko Saten, Kazari's friend and classmate.
The anime is produced by J.C.Staff and directed by Tatsuyuki Nagai, series composition by Seishi Minakami, music by Maiko Iuchi, character design by Yuichi Tanaka and art and sound direction by Tomonori Kuroda and Jin Aketagawa respectively. The anime began airing on Tokyo MX from October 2, 2009 to March 19, 2010",List of A Certain Scientific Railgun episodes,101.0
5,who won the 2017 sports personality of the year,['Mo Farah'],2017 BBC Sports Personality of the Year Award,,None,-1.0,None,None,-1.0,None,None,0.0,Gabby Logan,2017 BBC Sports Personality of the Year Award,-1.0,None,None,100.0,Gabby Logan,2017 BBC Sports Personality of the Year Award,101.0
6,where was the world economic forum held this year,"['Davos , a mountain resort in Graubünden , in the eastern Alps region of Switzerland', 'Davos']",World Economic Forum,"Davos, Switzerland, Davos, Davos","{'Davos, Switzerland': 'World Economic Forum', 'Davos': 'World Economic Forum'}",100.0,Davos,World Economic Forum,100.0,Davos,World Economic Forum,100.0,Davos,World Economic Forum,100.0,Davos,World Economic Forum,100.0,Davos,World Economic Forum,0.0
7,where are the giant redwoods located in california,"['Humboldt County', 'from the northern California coast north to the southern Oregon Coast', 'the coast of northern California']",Redwood National and State Parks,"Jedediah Smith Redwoods State Park, Prairie Creek Redwoods State Park, San Francisco and other places on the West Coast","{'Jedediah Smith Redwoods State Park': 'Redwood National and State Parks', 'Prairie Creek Redwoods State Park': 'Redwood National and State Parks', 'San Francisco and other places on the West Coast': 'Redwood National and State Parks'}",100.0,San Francisco and other places on the West Coast,Redwood National and State Parks,100.0,Prairie Creek Redwoods State Park,Redwood National and State Parks,100.0,Prairie Creek Redwoods State Park,Redwood National and State Parks,100.0,San Francisco,Redwood National and State Parks,100.0,Prairie Creek Redwoods,Redwood National and State Parks,0.0
8,who has made the most premier league appearances,['Gareth Barry'],List of Premier League players with 500 or more appearances,,None,-1.0,None,None,0.0,Gary Speed,List of Premier League players with 500 or more appearances,100.0,Gary Speed,List of Premier League players with 500 or more appearances,-1.0,None,None,-1.0,None,None,101.0
9,who was the first chief minister of west bengal,"['Prafulla Chandra Ghosh', 'Prafulla Chandra Ghosh of the Indian National Congress']",List of Chief Ministers of West Bengal,,None,-1.0,None,None,100.0,Prafulla Chandra Ghosh,List of Chief Ministers of West Bengal,100.0,Prafulla Chandra Ghosh,List of Chief Ministers of West Bengal,-1.0,None,None,-1.0,None,None,101.0
10,who sings got my mind set on you,['James Ray'],Got My Mind Set on You,"George Harrison, Harrison","{'George Harrison': 'Got My Mind Set on You', 'Harrison': 'Got My Mind Set on You'}",100.0,Harrison,Got My Mind Set on You,0.0,Rudy Clark,Got My Mind Set on You,100.0,Rudy Clark,Got My Mind Set on You,100.0,James Ray,Got My Mind Set on You,100.0,James Ray,Got My Mind Set on You,100.0
11,two main types of research methods used in psychology,"['Correlational research', 'qualitative', 'Qualitative psychological research', 'qualitative data']",List of psychological research methods,"qualitative data, quantitative data","{'qualitative data, quantitative data': 'List of psychological research methods'}",28.57142857142857,common research designs and data collection methods,List of psychological research methods,100.0,common research designs and data collection methods,List of psychological research methods,100.0,common research designs and data collection methods,List of psychological research methods,-1.0,None,None,100.0,common research designs and data collection methods,List of psychological research methods,101.0
12,who plays peter in what we do in the shadows,['Ben Fransham'],What We Do in the Shadows,,None,0.0,Jemaine Clement,What We Do in the Shadows,40.0,Jemaine Clement and Taika Waititi,What We Do in the Shadows,100.0,Jemaine Clement and Taika Waititi,What We Do in the Shadows,15.384615384615385,"Jemaine Clement and Taika Waititi and the first installment in the ""What We Do in the Shadows"" franchise. The film also stars Clement and Waititi, along with Jonathan Brugh, Ben Fransham, Cori Gonzalez-Macuer, Stu Rutherford, and Jackie van Beek",What We Do in the Shadows,100.0,"Jemaine Clement and Taika Waititi and the first installment in the ""What We Do in the Shadows"" franchise. The film also stars Clement and Waititi, along with Jonathan Brugh, Ben Fransham, Cori Gonzalez-Macuer, Stu Rutherford, and Jackie van Beek",What We Do in the Shadows,100.0
13,who was the chief guest of india on independence day 2017,['Crown Prince Mohammed bin Zayed Al Nahyan'],Republic Day (India),"Head of State, another head of state, King George VI","{'Head of State': 'Republic Day (India)', 'another head of state': 'Republic Day (India)', 'King George VI': 'Republic Day (India)'}",50.0,head of state or government of another country,Republic Day (India),100.0,head of state or government of another country,Republic Day (India),100.0,head of state or government of another country,Republic Day (India),25.0,the President of India,Republic Day (India),100.0,the President of India,Republic Day (India),75.0
14,when does the 14th season of grey's anatomy come out,"['September 28 , 2017']",Grey's Anatomy (season 14),,None,-1.0,None,None,-1.0,None,None,47.76875403825262,"September 28, 2017",Grey's Anatomy (season 14),100.0,"September 28, 2017",Grey's Anatomy (season 14),100.0,"September 28, 2017",Grey's Anatomy (season 14),101.0
15,when was the first hunger games book published,"['September 14 , 2008', '2008']",The Hunger Games (novel),,None,47.76875403825262,"September 14, 2008",The Hunger Games (novel),100.0,"September 14, 2008",The Hunger Games (novel),100.0,"September 14, 2008",The Hunger Games (novel),100.0,"September 14, 2008",The Hunger Games (novel),100.0,"September 14, 2008",The Hunger Games (novel),52.23124596174738
16,mandatory elements in the definition of an adverse event (ae),"['any unfavourable and unintended sign ( including an abnormal laboratory finding ) , symptom , or disease temporally associated with the use of a medicinal ( investigational ) product , whether or not related to the medicinal ( investigational ) product']",Adverse event,"expected or unexpected, and study-related, possibly related or not study-related, Researchers participating in a clinical trial must report all adverse events to the Food and Drug Administration (FDA) or the relevant regulatory authority in the country where the drug or device is to be registered. Serious AEs must be reported immediately, must be reported to the regulatory authorities immediately","{'expected or unexpected, and study-related, possibly related or not study-related': 'Adverse event', 'Researchers participating in a clinical trial must report all adverse events to the Food and Drug Administration (FDA) or the relevant regulatory authority in the country where the drug or device is to be registered. Serious AEs must be reported immediately': 'Adverse event', 'must be reported to the regulatory authorities immediately': 'Adverse event'}",-1.0,None,None,61.53846153846154,"serious or non-serious; expected or unexpected; and study-related, possibly study-related, or not study-related",Adverse event,100.0,"serious or non-serious; expected or unexpected; and study-related, possibly study-related, or not study-related",Adverse event,100.0,"serious or non-serious; expected or unexpected; and study-related, possibly study-related, or not study-related",Adverse event,100.0,"serious or non-serious; expected or unexpected; and study-related, possibly study-related, or not study-related",Adverse event,101.0
17,how much is the united states in debt to china,"['$1.06 trillion', '1,200.5']",National debt of the United States,,None,50.0,$8.5 trillion,National debt of the United States,100.0,$8.5 trillion,National debt of the United States,100.0,$1.06 trillion,National debt of the United States,0.0,73.6%,National debt of the United States,0.0,$3 trillion,National debt of the United States,100.0
18,where did the race in grease take place,"['the Los Angeles River , between the First and Seventh Street Bridges', 'at the Los Angeles River , between the First and Seventh Street Bridges', 'Thunder Road']",Grease (film),"drive-in movie scene, Los Angeles River, Frosty Palace","{'drive-in movie scene': 'Grease (film)', 'Los Angeles River': 'Grease (film)', 'Frosty Palace': 'Grease (film)'}",100.0,drive-in movie scene,Grease (film),100.0,Thunder Road,Grease (film),100.0,Los Angeles River,Grease (film),100.0,Los Angeles River,Grease (film),100.0,Los Angeles River,Grease (film),0.0
19,what is the maximum data rate for the 802.11a standard select one,['54 Mbit / s'],IEEE 802.11,"54 Mbit/s, 54 Mbit/s, 2 megabits per second","{'54 Mbit/s': 'IEEE 802.11', '2 megabits per second': 'IEEE 802.11'}",100.0,54 Mbit/s,IEEE 802.11,0.0,54 Mbit/s,IEEE 802.11,100.0,54 Mbit/s,IEEE 802.11,100.0,54 Mbit/s,IEEE 802.11,100.0,54 Mbit/s,IEEE 802.11,100.0
20,where are the summer olympics held this year,['Tokyo for the 2020 Summer Olympics'],List of Olympic Games host cities,,None,0.0,Rio de Janeiro,List of Olympic Games host cities,27.586206896551722,"Rio de Janeiro for the 2016 Summer Olympics, Pyeongchang for the 2018 Winter Olympics, Tokyo for the 2020 Summer Olympics, and Beijing for the 2022 Winter Olympics.
In 2022, Beijing",List of Olympic Games host cities,54.54545454545454,"Tokyo summer games of 1964 and 2020 Summer Olympics, and Beijing",List of Olympic Games host cities,13.53352832366127,Beijing,List of Olympic Games host cities,0.0,Singapore,List of Olympic Games host cities,54.54545454545454
21,a good that can be used in place of another good,"['A substitute good', 'substitute good']",Substitute good,"one kind of good, One good is a perfect substitute for another only if it can be used in exactly the same way, at exactly the same cost, and with exactly the same quality of outcome, complement good","{'one kind of good': 'Substitute good', 'One good is a perfect substitute for another only if it can be used in exactly the same way, at exactly the same cost, and with exactly the same quality of outcome': 'Substitute good', 'complement good': 'Substitute good'}",47.79363341166832,One good is a perfect substitute for another only if it can be used in exactly the same way,Substitute good,100.0,One good is a perfect substitute for another only if it can be used in exactly the same way,Substitute good,100.0,substitute good,Substitute good,0.0,butter,Substitute good,0.0,car,Substitute good,100.0
22,where in the bible can i find the lord's prayer,"['the Gospel of Matthew', 'Gospel of Matthew in the middle of the Sermon on the Mount']",Lord's Prayer,"Matthew, Didache, 8:2, Vetus Latina manuscripts","{'Matthew': ""Lord's Prayer"", 'Didache, 8:2': ""Lord's Prayer"", 'Vetus Latina manuscripts': ""Lord's Prayer""}",100.0,"Didache, 8:2",Lord's Prayer,100.0,"Didache, 8:2",Lord's Prayer,100.0,"Didache, 8:2",Lord's Prayer,66.66666666666666,Gospel of Mark,Lord's Prayer,100.0,Gospel of Mark,Lord's Prayer,33.33333333333334
23,when was the last time nebraska voted democrat,['1964'],United States presidential elections in Nebraska,,None,-1.0,None,None,-1.0,None,None,0.0,1992,United States presidential elections in Nebraska,100.0,1992,United States presidential elections in Nebraska,100.0,1992,United States presidential elections in Nebraska,101.0
24,who become the ceo of it wipro company in 2016,['Abid Ali Neemuchwala'],Wipro,,None,0.0,Rand Blazer,Wipro,100.0,Abid Ali Neemuchwala,Wipro,100.0,Abid Ali Neemuchwala,Wipro,50.0,Abidali Neemuchwala,Wipro,100.0,Abidali Neemuchwala,Wipro,100.0
25,who does eric end up with in gossip girl,['Jenny'],Eric van der Woodsen,,None,50.0,Jenny Humphrey,Eric van der Woodsen,100.0,Jenny Humphrey,Eric van der Woodsen,100.0,Jenny Humphrey,Eric van der Woodsen,-1.0,None,None,100.0,Jenny Humphrey,Eric van der Woodsen,101.0
26,who plays unis in she's the man,['Emily Perkins'],She's the Man,"Amanda Bynes, Viola, Sebastian","{'Amanda Bynes': ""She's the Man"", 'Viola': ""She's the Man"", 'Sebastian': ""She's the Man""}",100.0,Viola,She's the Man,100.0,Amanda Bynes,She's the Man,100.0,Amanda Bynes,She's the Man,100.0,Amanda Bynes,She's the Man,100.0,Amanda Bynes,She's the Man,0.0
27,who played booster in jingle all the way,['Curtis Armstrong'],Jingle All the Way,"Arnold Schwarzenegger and Sinbad, Turbo-Man, Howard uses the opportunity to present a coveted Turbo-Man doll to his son in the crowd. But before he can recognize his dad, Jaime is chased around the parade by the costumed Myron","{'Arnold Schwarzenegger and Sinbad': 'Jingle All the Way', 'Turbo-Man': 'Jingle All the Way', 'Howard uses the opportunity to present a coveted Turbo-Man doll to his son in the crowd. But before he can recognize his dad, Jaime is chased around the parade by the costumed Myron': 'Jingle All the Way'}",100.0,Arnold Schwarzenegger and Sinbad,Jingle All the Way,100.0,Arnold Schwarzenegger and Sinbad,Jingle All the Way,100.0,Arnold Schwarzenegger and Sinbad,Jingle All the Way,100.0,Arnold Schwarzenegger,Jingle All the Way,100.0,Sinbad,Jingle All the Way,0.0
28,where does the term dog and pony show come from,['in the United States in the late - 19th and early - 20th centuries'],Dog and pony show,"mid-western United States, the typical use of performing dogs and ponies as the main attractions of the events","{'mid-western United States': 'Dog and pony show', 'the typical use of performing dogs and ponies as the main attractions of the events': 'Dog and pony show'}",-1.0,None,None,85.71428571428571,common use of performing dogs and ponies,Dog and pony show,100.0,common use of performing dogs and ponies as the main attractions of the events,Dog and pony show,100.0,common use of performing dogs and ponies as the main attractions of the events,Dog and pony show,100.0,common use of performing dogs and ponies as the main attractions of the events,Dog and pony show,101.0
29,who is recognized as the founder of islam,"['Muhammad', 'the Islamic prophet Muhammad']",History of Islam,,None,0.0,Saladin,History of Islam,100.0,Saladin,History of Islam,0.0,Timur,History of Islam,100.0,Timur,History of Islam,0.0,Osman I,History of Islam,100.0
30,who plays emma in air bud world pup,['Brittany Paige Bouck'],Air Bud: World Pup,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
31,how old was sasuke when his clan died,['seven'],Sasuke Uchiha,"youthful properties are lost, a result of Kishimoto's inexperience in drawing characters mature beyond their years, two-and-a-half years, Naruto","{""youthful properties are lost, a result of Kishimoto's inexperience in drawing characters mature beyond their years"": 'Sasuke Uchiha', 'two-and-a-half years': 'Sasuke Uchiha', 'Naruto': 'Sasuke Uchiha'}",100.0,two-and-a-half years,Sasuke Uchiha,100.0,Naruto,Sasuke Uchiha,100.0,seven,Sasuke Uchiha,100.0,seven,Sasuke Uchiha,100.0,seven,Sasuke Uchiha,0.0
32,how long is training camp for nfl players,['at least the first few weeks'],Training camp (National Football League),,None,100.0,at least the first few weeks,Training camp (National Football League),100.0,at least the first few weeks,Training camp (National Football League),100.0,at least the first few weeks,Training camp (National Football League),100.0,at least the first few weeks,Training camp (National Football League),100.0,at least the first few weeks,Training camp (National Football League),0.0
33,where do some of the natural air pollutants come from,"['Dust', 'Carbon dioxide']",Air pollution,"subtle biochemical and physiological changes, Biological sources of air pollution are also found indoors, natural processes and human activity","{'subtle biochemical and physiological changes': 'Air pollution', 'Biological sources of air pollution are also found indoors': 'Air pollution', 'natural processes and human activity': 'Air pollution'}",100.0,Biological sources of air pollution are also found indoors,Air pollution,100.0,indoors,Air pollution,33.33333333333333,"Indoors, the lack of air circulation",Air pollution,0.0,dust storms,Air pollution,100.0,dust storms,Air pollution,100.0
34,who is the pastor of new birth missionary baptist church now,"['Stephen A. Davis', 'Stephen A. Davis , pastor of New Birth Birmingham in Birmingham , Alabama']",New Birth Missionary Baptist Church,"Bishop Eddie Long, Bishop Eddie Long",{'Bishop Eddie Long': 'New Birth Missionary Baptist Church'},100.0,Bishop Eddie Long,New Birth Missionary Baptist Church,100.0,Bishop Eddie Long,New Birth Missionary Baptist Church,100.0,Stephen A. Davis,New Birth Missionary Baptist Church,60.653065971263345,Eddie Long,New Birth Missionary Baptist Church,100.0,Eddie Long,New Birth Missionary Baptist Church,39.346934028736655
35,who is doing 2018 super bowl half time show,['Justin Timberlake'],Super Bowl LII halftime show,,None,-1.0,None,None,-1.0,None,None,100.0,Justin Timberlake,Super Bowl LII halftime show,100.0,Justin Timberlake,Super Bowl LII halftime show,100.0,Justin Timberlake,Super Bowl LII halftime show,101.0
36,who is playing the halftime show for the superbowl,['Justin Timberlake'],Super Bowl LII halftime show,,None,-1.0,None,None,-1.0,None,None,100.0,Justin Timberlake,Super Bowl LII halftime show,100.0,Justin Timberlake,Super Bowl LII halftime show,100.0,Justin Timberlake,Super Bowl LII halftime show,101.0
37,who hosted they think it's all over,"['comedian Nick Hancock', 'Nick Hancock', 'Des Lynam']",They Think It's All Over (TV series),"Nick Hancock, Peter Fincham, Des Lynam","{'Nick Hancock': ""They Think It's All Over (TV series)"", 'Peter Fincham': ""They Think It's All Over (TV series)"", 'Des Lynam': ""They Think It's All Over (TV series)""}",100.0,Nick Hancock,They Think It's All Over (TV series),100.0,Des Lynam,They Think It's All Over (TV series),100.0,Des Lynam,They Think It's All Over (TV series),100.0,Des Lynam,They Think It's All Over (TV series),100.0,Des Lynam,They Think It's All Over (TV series),0.0
38,where does the movie proof of life take place,"['the ( fictional ) South American country of Tecala', 'The Republic of Tecala']",Proof of Life,"The Republic of Tecala, Ecuador, Vanity Fair"" magazine article ""Adventures in the Ransom Trade,""","{'The Republic of Tecala': 'Proof of Life', 'Ecuador': 'Proof of Life', 'Vanity Fair"" magazine article ""Adventures in the Ransom Trade,""': 'Proof of Life'}",100.0,The Republic of Tecala,Proof of Life,100.0,The Republic of Tecala,Proof of Life,100.0,The Republic of Tecala,Proof of Life,100.0,The Republic of Tecala,Proof of Life,100.0,The Republic of Tecala,Proof of Life,0.0
39,where did the saying monkey's uncle come from,['Scopes Trial in the United States'],Monkey's uncle,,None,0.0,Ohio newspaper,Monkey's uncle,-1.0,None,None,6.896551724137931,"Ohio newspaper on 8 February 1925. It was originally a sarcastic remark made by creationists. The notion ""that [people] were descended from apes was considered blasphemous...by Darwin's contemporaries"", and it was for this reason that the sarcastic phrase came into use.
Michael Quinion notes that the phrase ""Monkey's uncle"" occurs in a parody of Longfellow's ""The Song of Hiawatha""",Monkey's uncle,100.0,"a parody of Longfellow's ""The Song of Hiawatha""",Monkey's uncle,100.0,apes,Monkey's uncle,101.0
40,who breaks a tie in the us senate,"['The Vice President of the United States', 'Vice President of the United States']",List of tie-breaking votes cast by vice presidents of the United States,,None,-1.0,None,None,15.163266492815836,35 different Vice presidents,List of tie-breaking votes cast by vice presidents of the United States,100.0,The Vice President of the United States,List of tie-breaking votes cast by vice presidents of the United States,-1.0,None,None,-1.0,None,None,101.0
