,Overall Avg,GT Answers,Question,Avg Score: original,Prediction: original,Avg Score: 2010-01-01 00:00:00,Predicted: 2010-01-01 00:00:00,Avg Score: 2014-01-01 00:00:00,Predicted: 2014-01-01 00:00:00,Avg Score: 2018-01-01 00:00:00,Predicted: 2018-01-01 00:00:00,Avg Score: 2021-05-04 05:37:52.352568,Predicted: 2021-05-04 05:37:52.352568
2963,100.0,14 February 2018 -- ,when did redmi note 5 launch in india,100.0,14 February 2018,0.0,No Edit,0.0,No Edit,0.0,No Edit,100.0,14 February 2018
9203,100.0,1996 -- ,when did the first palm pilot come out,100.0,1996,100.0,1996,100.0,1996,100.0,1996,100.0,1996
1693,100.0,between 1989 and 1991 -- ,when was the rose that grew from concrete poem written,100.0,between 1989 and 1991,0.0,No Edit,100.0,between 1989 and 1991,100.0,between 1989 and 1991,100.0,between 1989 and 1991
8070,100.0,1985 -- ,when was the last time the bears won the superbowl,100.0,1985,100.0,1985,100.0,1985,100.0,1985,100.0,1985
2930,100.0,Mercury -- ,which planet is 5.5 of earth's mass and has no moon,100.0,Mercury,100.0,"Mercury,",100.0,"Mercury,",100.0,"Mercury,",100.0,"Mercury,"
2937,100.0,2008 -- ,when was the last time baseball was in the olympics,100.0,2008,100.0,2008,100.0,2008,100.0,2008,100.0,2008
553,100.0,808 -- ,what is the area code for the state of hawaii,100.0,808,100.0,808,100.0,808,100.0,808,100.0,808
8061,100.0,southwestern Tennessee -- ,where was the battle of shiloh fought in the civil war,100.0,southwestern Tennessee,100.0,southwestern Tennessee.,100.0,southwestern Tennessee.,100.0,southwestern Tennessee.,100.0,southwestern Tennessee.
2949,100.0,Geoffrey of Monmouth -- ,who wrote the history of the kings of britian,100.0,Geoffrey of Monmouth,100.0,Geoffrey of Monmouth.,100.0,Geoffrey of Monmouth.,100.0,Geoffrey of Monmouth.,100.0,Geoffrey of Monmouth.
9164,100.0,1891 -- James Naismith -- ,who invented basketball and when was it invented,100.0,1891,100.0,James Naismith.,100.0,1891,100.0,1891,100.0,1891
538,100.0,1898 -- ,when did la paz become the capital of bolivia,100.0,1898,100.0,1898,100.0,1898,100.0,1898,100.0,1898
6881,100.0,1530 -- ,when was the bible first translated into french,100.0,1530,100.0,1530,100.0,1530,100.0,1530,100.0,1530
