,Maximum BLEU Avg,Max BA Choice,Overall FW Avg,Question,GT Answers,Prediction: original,Avg Score: original,Avg Score: 2008-01-01 00:00:00,Predicted: 2008-01-01 00:00:00,UniBLEU-Original: 2008-01-01 00:00:00,BiBLEU-Original: 2008-01-01 00:00:00,Avg Score: 2010-01-01 00:00:00,Predicted: 2010-01-01 00:00:00,UniBLEU-Original: 2010-01-01 00:00:00,BiBLEU-Original: 2010-01-01 00:00:00,UniBLEU-Previous: 2010-01-01 00:00:00,BiBLEU-Previous: 2010-01-01 00:00:00,Avg Score: 2012-01-01 00:00:00,Predicted: 2012-01-01 00:00:00,UniBLEU-Original: 2012-01-01 00:00:00,BiBLEU-Original: 2012-01-01 00:00:00,UniBLEU-Previous: 2012-01-01 00:00:00,BiBLEU-Previous: 2012-01-01 00:00:00,Avg Score: 2014-01-01 00:00:00,Predicted: 2014-01-01 00:00:00,UniBLEU-Original: 2014-01-01 00:00:00,BiBLEU-Original: 2014-01-01 00:00:00,UniBLEU-Previous: 2014-01-01 00:00:00,BiBLEU-Previous: 2014-01-01 00:00:00,Avg Score: 2016-01-01 00:00:00,Predicted: 2016-01-01 00:00:00,UniBLEU-Original: 2016-01-01 00:00:00,BiBLEU-Original: 2016-01-01 00:00:00,UniBLEU-Previous: 2016-01-01 00:00:00,BiBLEU-Previous: 2016-01-01 00:00:00,Avg Score: 2018-01-01 00:00:00,Predicted: 2018-01-01 00:00:00,UniBLEU-Original: 2018-01-01 00:00:00,BiBLEU-Original: 2018-01-01 00:00:00,UniBLEU-Previous: 2018-01-01 00:00:00,BiBLEU-Previous: 2018-01-01 00:00:00,max - min,Current Average Score,Current Predicted,Current UniBLEU-Original,Current BiBLEU-Original,Current UniBLEU-Previous,Current BiBLEU-Previous,Avg BLEU: Uni-Original,Avg BLEU: Bi-Original,Avg BLEU: Uni-Previous,Avg BLEU: Bi-Previous
0,100.0,Avg BLEU: Uni-Original,100.0,what is abby's real name from ncis,Pauley Perrette -- ,Valdosta State University Pauley Perrette,77.0,100.0,Pauley Perrette,100.0,100.0,100.0,Pauley Perrette,100.0,100.0,100.0,100.0,100.0,Pauley Perrette,100.0,100.0,100.0,100.0,100.0,Pauley Perrette,100.0,100.0,100.0,100.0,100.0,Pauley Perrette,100.0,100.0,100.0,100.0,100.0,Pauley Perrette,100.0,100.0,100.0,100.0,0.0,100.0,Pauley Perrette,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1,85.71428571428571,Avg BLEU: Uni-Original,100.0,what year did flight 1549 land in the hudson,2009 -- ,2009,100.0,0.0,No Edit,0.0,0.0,100.0,2009,100.0,2.2250738585072627e-306,0.0,0.0,100.0,2009,100.0,2.2250738585072627e-306,100.0,2.2250738585072627e-306,100.0,2009,100.0,2.2250738585072627e-306,100.0,2.2250738585072627e-306,100.0,2009,100.0,2.2250738585072627e-306,100.0,2.2250738585072627e-306,100.0,2009,100.0,2.2250738585072627e-306,100.0,2.2250738585072627e-306,100.0,100.0,2009,100.0,2.2250738585072627e-306,100.0,2.2250738585072627e-306,85.71428571428571,1.9072061644347964e-306,83.33333333333333,1.9072061644347964e-306
3,100.0,Avg BLEU: Uni-Original,100.0,when did the red hot chili peppers start,1983 -- ,1983,100.0,100.0,1983,100.0,2.2250738585072627e-306,100.0,1983,100.0,2.2250738585072627e-306,100.0,2.2250738585072627e-306,100.0,1983,100.0,2.2250738585072627e-306,100.0,2.2250738585072627e-306,100.0,1983,100.0,2.2250738585072627e-306,100.0,2.2250738585072627e-306,100.0,1983,100.0,2.2250738585072627e-306,100.0,2.2250738585072627e-306,100.0,1983,100.0,2.2250738585072627e-306,100.0,2.2250738585072627e-306,0.0,100.0,1983,100.0,2.2250738585072627e-306,100.0,2.2250738585072627e-306,100.0,2.2250738585072624e-306,100.0,2.2250738585072624e-306
4,85.71428571428571,Avg BLEU: Uni-Original,87.42857142857142,what is the highest number of michelin stars a resturant can receive,three -- ,three,100.0,12.0,four or five,0.0,0.0,100.0,three,100.0,2.2250738585072627e-306,0.0,0.0,100.0,three,100.0,2.2250738585072627e-306,100.0,2.2250738585072627e-306,100.0,three,100.0,2.2250738585072627e-306,100.0,2.2250738585072627e-306,100.0,three,100.0,2.2250738585072627e-306,100.0,2.2250738585072627e-306,100.0,three,100.0,2.2250738585072627e-306,100.0,2.2250738585072627e-306,88.0,100.0,three,100.0,2.2250738585072627e-306,100.0,2.2250738585072627e-306,85.71428571428571,1.9072061644347964e-306,83.33333333333333,1.9072061644347964e-306
5,100.0,Avg BLEU: Uni-Previous,100.0,who played guitar in no sleep till brooklyn,Kerry King -- ,Kerry King,100.0,100.0,"Kerry King,",50.0,2.2250738585072627e-306,100.0,"Kerry King,",50.0,2.2250738585072627e-306,100.0,100.0,100.0,"Kerry King,",50.0,2.2250738585072627e-306,100.0,100.0,100.0,"Kerry King,",50.0,2.2250738585072627e-306,100.0,100.0,100.0,"Kerry King,",50.0,2.2250738585072627e-306,100.0,100.0,100.0,"Kerry King,",50.0,2.2250738585072627e-306,100.0,100.0,0.0,100.0,"Kerry King,",50.0,2.2250738585072627e-306,100.0,100.0,50.0,2.2250738585072624e-306,100.0,2.2250738585072624e-306
6,100.0,Avg BLEU: Uni-Original,100.0,when did public health start in the united states,1798 -- ,1798,100.0,100.0,1798,100.0,2.2250738585072627e-306,100.0,1798,100.0,2.2250738585072627e-306,100.0,2.2250738585072627e-306,100.0,1798,100.0,2.2250738585072627e-306,100.0,2.2250738585072627e-306,100.0,1798,100.0,2.2250738585072627e-306,100.0,2.2250738585072627e-306,100.0,1798,100.0,2.2250738585072627e-306,100.0,2.2250738585072627e-306,100.0,1798,100.0,2.2250738585072627e-306,100.0,2.2250738585072627e-306,0.0,100.0,1798,100.0,2.2250738585072627e-306,100.0,2.2250738585072627e-306,100.0,2.2250738585072624e-306,100.0,2.2250738585072624e-306
7,85.71428571428571,Avg BLEU: Uni-Original,85.71428571428571,how many national championships has michigan won in football,11 -- ,11,100.0,0.0,two,0.0,0.0,100.0,11,100.0,2.2250738585072627e-306,0.0,0.0,100.0,11,100.0,2.2250738585072627e-306,100.0,2.2250738585072627e-306,100.0,11,100.0,2.2250738585072627e-306,100.0,2.2250738585072627e-306,100.0,11,100.0,2.2250738585072627e-306,100.0,2.2250738585072627e-306,100.0,11,100.0,2.2250738585072627e-306,100.0,2.2250738585072627e-306,100.0,100.0,11,100.0,2.2250738585072627e-306,100.0,2.2250738585072627e-306,85.71428571428571,1.9072061644347964e-306,83.33333333333333,1.9072061644347964e-306
8,88.88888888888887,Avg BLEU: Uni-Previous,98.5,who played jack sparrow in pirates of the caribbean,Johnny Depp -- ,Johnny Depp,100.0,100.0,Johnny Depp.,50.0,2.2250738585072627e-306,100.0,Johnny Depp.,50.0,2.2250738585072627e-306,100.0,100.0,89.5,"actor Johnny Depp,",33.33333333333333,2.2250738585072627e-306,33.33333333333333,2.2250738585072627e-306,100.0,Johnny Depp.,50.0,2.2250738585072627e-306,100.0,100.0,100.0,"Johnny Depp,",50.0,2.2250738585072627e-306,100.0,100.0,100.0,Johnny Depp.,50.0,2.2250738585072627e-306,100.0,100.0,10.5,100.0,Johnny Depp.,50.0,2.2250738585072627e-306,100.0,100.0,47.61904761904761,2.2250738585072624e-306,88.88888888888887,2.2250738585072624e-306
9,100.0,Avg BLEU: Uni-Previous,100.0,who sang yummy yummy yummy i've got love in my tummy,Arthur Resnick and Joey Levine -- ,Arthur Resnick and Joey Levine,100.0,100.0,"Arthur Resnick and Joey Levine,",80.0,75.0,100.0,"Arthur Resnick and Joey Levine,",80.0,75.0,100.0,100.0,100.0,"Arthur Resnick and Joey Levine,",80.0,75.0,100.0,100.0,100.0,"Arthur Resnick and Joey Levine,",80.0,75.0,100.0,100.0,100.0,"Arthur Resnick and Joey Levine,",80.0,75.0,100.0,100.0,100.0,"Arthur Resnick and Joey Levine,",80.0,75.0,100.0,100.0,0.0,100.0,"Arthur Resnick and Joey Levine,",80.0,75.0,100.0,100.0,80.0,75.0,100.0,75.0
10,100.0,Avg BLEU: Uni-Original,100.0,when did michael jordan win first nba championship,1991 -- ,1991,100.0,100.0,1991,100.0,2.2250738585072627e-306,100.0,1991,100.0,2.2250738585072627e-306,100.0,2.2250738585072627e-306,100.0,1991,100.0,2.2250738585072627e-306,100.0,2.2250738585072627e-306,100.0,1991,100.0,2.2250738585072627e-306,100.0,2.2250738585072627e-306,100.0,1991,100.0,2.2250738585072627e-306,100.0,2.2250738585072627e-306,100.0,1991,100.0,2.2250738585072627e-306,100.0,2.2250738585072627e-306,0.0,100.0,1991,100.0,2.2250738585072627e-306,100.0,2.2250738585072627e-306,100.0,2.2250738585072624e-306,100.0,2.2250738585072624e-306
11,100.0,Avg BLEU: Uni-Original,100.0,when did five finger death punch become a band,2005 -- ,2005,100.0,100.0,2005,100.0,2.2250738585072627e-306,100.0,2005,100.0,2.2250738585072627e-306,100.0,2.2250738585072627e-306,100.0,2005,100.0,2.2250738585072627e-306,100.0,2.2250738585072627e-306,100.0,2005,100.0,2.2250738585072627e-306,100.0,2.2250738585072627e-306,100.0,2005,100.0,2.2250738585072627e-306,100.0,2.2250738585072627e-306,100.0,2005,100.0,2.2250738585072627e-306,100.0,2.2250738585072627e-306,0.0,100.0,2005,100.0,2.2250738585072627e-306,100.0,2.2250738585072627e-306,100.0,2.2250738585072624e-306,100.0,2.2250738585072624e-306
12,100.0,Avg BLEU: Uni-Previous,100.0,thasos revolted in order to be free of,Athenian control -- ,Athenian control,100.0,100.0,"Athenian control,",50.0,2.2250738585072627e-306,100.0,"Athenian control,",50.0,2.2250738585072627e-306,100.0,100.0,100.0,"Athenian control,",50.0,2.2250738585072627e-306,100.0,100.0,100.0,"Athenian control,",50.0,2.2250738585072627e-306,100.0,100.0,100.0,"Athenian control,",50.0,2.2250738585072627e-306,100.0,100.0,100.0,"Athenian control,",50.0,2.2250738585072627e-306,100.0,100.0,0.0,100.0,"Athenian control,",50.0,2.2250738585072627e-306,100.0,100.0,50.0,2.2250738585072624e-306,100.0,2.2250738585072624e-306
13,75.0,Avg BLEU: Uni-Previous,100.0,who was the original singer of fooled around and fell in love,Mickey Thomas -- ,Mickey Thomas,100.0,0.0,No Edit,0.0,0.0,100.0,Mickey Thomas,100.0,100.0,0.0,0.0,100.0,Mickey Thomas,100.0,100.0,100.0,100.0,100.0,Mickey Thomas,100.0,100.0,100.0,100.0,100.0,"Mickey Thomas,",50.0,2.2250738585072627e-306,50.0,2.2250738585072627e-306,100.0,"Mickey Thomas,",50.0,2.2250738585072627e-306,100.0,100.0,100.0,100.0,"Mickey Thomas,",50.0,2.2250738585072627e-306,100.0,100.0,64.28571428571429,42.857142857142854,75.0,42.857142857142854
14,100.0,Avg BLEU: Uni-Original,100.0,what year did harry met sally come out,1989 -- ,1989,100.0,100.0,1989,100.0,2.2250738585072627e-306,100.0,1989,100.0,2.2250738585072627e-306,100.0,2.2250738585072627e-306,100.0,1989,100.0,2.2250738585072627e-306,100.0,2.2250738585072627e-306,100.0,1989,100.0,2.2250738585072627e-306,100.0,2.2250738585072627e-306,100.0,1989,100.0,2.2250738585072627e-306,100.0,2.2250738585072627e-306,100.0,1989,100.0,2.2250738585072627e-306,100.0,2.2250738585072627e-306,0.0,100.0,1989,100.0,2.2250738585072627e-306,100.0,2.2250738585072627e-306,100.0,2.2250738585072624e-306,100.0,2.2250738585072624e-306
