,Question,GT Answer,GT Topic,2008 Bleu Score,2008 Predicted,2008 Topic,2014 Bleu Score,2014 Predicted,2014 Topic,2016 Bleu Score,2016 Predicted,2016 Topic,2018 Bleu Score,2018 Predicted,2018 Topic,2020 Bleu Score,2020 Predicted,2020 Topic,2021 Bleu Score,2021 Predicted,2021 Topic,max - min
0,what do the 3 dots mean in math,"['the therefore sign', 'a logical consequence , such as the conclusion of a syllogism', 'the therefore sign ( ∴ ) is generally used before a logical consequence , such as the conclusion of a syllogism', 'therefore sign']",Therefore sign,15.625,"logical implication or entailment, various signs are used in mathematical logic: , , , , . These symbols are then part of a mathematical formula, and are not considered to be punctuation",Therefore sign,0.0,"""therefore",Therefore sign,0.0,very rare in continental Europe,Therefore sign,0.0,"""therefore",Therefore sign,0.0,"""therefore",Therefore sign,36.787944117144235,therefore,Therefore sign,36.787944117144235
1,who wrote the song photograph by ringo starr,"['Richard Starkey', 'Ringo Starr']",Photograph (Ringo Starr song),25.0,Starr on his own,Photograph (Ringo Starr song),0.0,Barry Feinstein,Photograph (Ringo Starr song),0.0,Barry Feinstein,Photograph (Ringo Starr song),0.0,Barry Feinstein,Photograph (Ringo Starr song),-1.0,None,None,0.0,Barry Feinstein,Photograph (Ringo Starr song),26.0
2,who is playing the halftime show at super bowl 2016,"['Coldplay with special guest performers Beyoncé and Bruno Mars', 'Coldplay', 'British rock group Coldplay with special guest performers Beyoncé and Bruno Mars']",Super Bowl 50 halftime show,-1.0,None,None,-1.0,None,None,100.0,Coldplay,Super Bowl 50 halftime show,100.0,Coldplay,Super Bowl 50 halftime show,100.0,Coldplay,Super Bowl 50 halftime show,100.0,Coldplay,Super Bowl 50 halftime show,101.0
3,star wars the clone wars anakin voice actor,"[""Matthew MacKendree `` Matt '' Lanter""]",Matt Lanter,9.523809523809526,"Matthew Mackendree Lanter (born April 1 1983) is an American actor, and model best known for his role as Horace Calloway",Matt Lanter,24.525296078096154,"Matthew ""Matt"" Lanter",Matt Lanter,0.6737946999085467,Lanter,Matt Lanter,0.6737946999085467,Lanter,Matt Lanter,0.6737946999085467,Lanter,Matt Lanter,0.6737946999085467,Lanter,Matt Lanter,23.851501378187606
4,to aru kagaku no railgun s episode 3,['Project Radio Noise'],List of A Certain Scientific Railgun episodes,-1.0,None,None,0.0,five,List of A Certain Scientific Railgun episodes,0.0,amp,List of A Certain Scientific Railgun episodes,0.0,amp,List of A Certain Scientific Railgun episodes,-1.0,None,None,0.0,"Kuroko's partner in Judgment, the city's public safety committee; and Ruiko Saten, Kazari's friend and classmate.
The anime is produced by J.C.Staff and directed by Tatsuyuki Nagai, series composition by Seishi Minakami, music by Maiko Iuchi, character design by Yuichi Tanaka and art and sound direction by Tomonori Kuroda and Jin Aketagawa respectively. The anime began airing on Tokyo MX from October 2, 2009 to March 19, 2010",List of A Certain Scientific Railgun episodes,1.0
5,who won the 2017 sports personality of the year,['Mo Farah'],2017 BBC Sports Personality of the Year Award,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0,Gabby Logan,2017 BBC Sports Personality of the Year Award,-1.0,None,None,0.0,Gabby Logan,2017 BBC Sports Personality of the Year Award,1.0
6,where was the world economic forum held this year,"['Davos , a mountain resort in Graubünden , in the eastern Alps region of Switzerland', 'Davos']",World Economic Forum,100.0,Davos,World Economic Forum,100.0,Davos,World Economic Forum,100.0,Davos,World Economic Forum,100.0,Davos,World Economic Forum,100.0,Davos,World Economic Forum,100.0,Davos,World Economic Forum,0.0
7,where are the giant redwoods located in california,"['Humboldt County', 'from the northern California coast north to the southern Oregon Coast', 'the coast of northern California']",Redwood National and State Parks,17.794164509262398,San Francisco and other places on the West Coast,Redwood National and State Parks,17.794164509262398,San Francisco and other places on the West Coast,Redwood National and State Parks,17.794164509262398,San Francisco and other places on the West Coast,Redwood National and State Parks,14.893617021276595,"along the coast of northern California. Comprising Redwood National Park (established 1968) and California's Del Norte Coast, Jedediah Smith, and Prairie Creek Redwoods State Parks (dating from the 1920s), the combined RNSP contain , and feature old-growth temperate rainforests. Located entirely within Del Norte and Humboldt Counties",Redwood National and State Parks,17.794164509262398,San Francisco and other places on the West Coast,Redwood National and State Parks,20.0,Bald Hills to Minor Creek,Redwood National and State Parks,5.1063829787234045
8,who has made the most premier league appearances,['Gareth Barry'],List of Premier League players with 500 or more appearances,-1.0,None,None,-1.0,None,None,0.0,Gary Speed,List of Premier League players with 500 or more appearances,100.0,Gareth Barry,List of Premier League players with 500 or more appearances,-1.0,None,None,-1.0,None,None,101.0
9,who was the first chief minister of west bengal,"['Prafulla Chandra Ghosh', 'Prafulla Chandra Ghosh of the Indian National Congress']",List of Chief Ministers of West Bengal,-1.0,None,None,-1.0,None,None,100.0,Prafulla Chandra Ghosh,List of Chief Ministers of West Bengal,100.0,Prafulla Chandra Ghosh,List of Chief Ministers of West Bengal,-1.0,None,None,-1.0,None,None,101.0
